Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,Style Name (product.metafields.custom.style_name),Fabric (product.metafields.custom.fabric),Work (product.metafields.custom.work),Blouse Type (product.metafields.custom.blouse_type),Neck Style (product.metafields.custom.neck_style),Sleeve Length (product.metafields.custom.sleeve_length),Lining (product.metafields.custom.lining),Closure (product.metafields.custom.closure),Care Instructions (product.metafields.custom.care_instructions),Origin (product.metafields.custom.origin),Size Chart Type (product.metafields.custom.size_chart_type),Color Group (product.metafields.custom.color_group)
Girls Embroidered Kaftan Top With Palazzo Co-Ord Set,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,Girls Embroidered Kaftan Top With Palazzo Co-Ord Set,VAMAS,Apparel & Accessories > Clothing > Kids,Kids,girls,TRUE,active,VK-218_GREEN_1-2Y,8908641535795,COLOR,GREEN,,SIZE,1-2Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/HDCPQcBW/VK-218-GREEN-FRONT.jpg,1,,https://i.ibb.co/HDCPQcBW/VK-218-GREEN-FRONT.jpg,FALSE,Girls Embroidered Kaftan Top With Palazzo Co-Ord Set | Vikri,Girls Embroidered Kaftan Top With Palazzo Co-Ord Set,,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult,VK-218_GREEN_1-2Y,,girls,,,,,,,,VK-218,ART-SILK,NA,NA,NA,NA,Soft Butter Inner Lining,NA,DRY CLEAN ONLY,Handcrafted in India,girls,GREEN
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_GREEN_2-3Y,8908641535801,,GREEN,,,2-3Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/S76b72hH/VK-218-GREEN-BACK.jpg,2,,https://i.ibb.co/HDCPQcBW/VK-218-GREEN-FRONT.jpg,,,,,,,,VK-218_GREEN_2-3Y,,,,,,,,,,,,,,,,,,,,,GREEN
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_GREEN_3-4Y,8908641535818,,GREEN,,,3-4Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/G40p082C/VK-218-GREEN-SIDE.jpg,3,,https://i.ibb.co/HDCPQcBW/VK-218-GREEN-FRONT.jpg,,,,,,,,VK-218_GREEN_3-4Y,,,,,,,,,,,,,,,,,,,,,GREEN
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_GREEN_4-5Y,8908641535825,,GREEN,,,4-5Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/4RHLMYGx/VK-218-GREEN-ZOOM.jpg,4,,https://i.ibb.co/HDCPQcBW/VK-218-GREEN-FRONT.jpg,,,,,,,,VK-218_GREEN_4-5Y,,,,,,,,,,,,,,,,,,,,,GREEN
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_GREEN_5-6Y,8908641535832,,GREEN,,,5-6Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/HDCPQcBW/VK-218-GREEN-FRONT.jpg,,,,,,,,VK-218_GREEN_5-6Y,,,,,,,,,,,,,,,,,,,,,GREEN
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_GREEN_6-7Y,8908641535849,,GREEN,,,6-7Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/HDCPQcBW/VK-218-GREEN-FRONT.jpg,,,,,,,,VK-218_GREEN_6-7Y,,,,,,,,,,,,,,,,,,,,,GREEN
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_PINK_1-2Y,8908641534897,,PINK,,,1-2Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/7tZTfgG2/VK-218-PINK-FRONT.jpg,5,,https://i.ibb.co/7tZTfgG2/VK-218-PINK-FRONT.jpg,FALSE,,,,,,,VK-218_PINK_1-2Y,,,,,,,,,,,,,,,,,,,,,PINK
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_PINK_2-3Y,8908641534903,,PINK,,,2-3Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/GQghJ8JS/VK-218-PINK-BACK.jpg,6,,https://i.ibb.co/7tZTfgG2/VK-218-PINK-FRONT.jpg,,,,,,,,VK-218_PINK_2-3Y,,,,,,,,,,,,,,,,,,,,,PINK
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_PINK_3-4Y,8908641534910,,PINK,,,3-4Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/k2gBRFZ5/VK-218-PINK-SIDE.jpg,7,,https://i.ibb.co/7tZTfgG2/VK-218-PINK-FRONT.jpg,,,,,,,,VK-218_PINK_3-4Y,,,,,,,,,,,,,,,,,,,,,PINK
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_PINK_4-5Y,8908641534927,,PINK,,,4-5Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/ynH9gSCw/VK-218-PINK-ZOOM.jpg,8,,https://i.ibb.co/7tZTfgG2/VK-218-PINK-FRONT.jpg,,,,,,,,VK-218_PINK_4-5Y,,,,,,,,,,,,,,,,,,,,,PINK
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_PINK_5-6Y,8908641534934,,PINK,,,5-6Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/7tZTfgG2/VK-218-PINK-FRONT.jpg,,,,,,,,VK-218_PINK_5-6Y,,,,,,,,,,,,,,,,,,,,,PINK
,girls-embroidered-kaftan-top-with-palazzo-co-ord-set,,,,,,,,VK-218_PINK_6-7Y,8908641534941,,PINK,,,6-7Y,,,,,4999,4999,4999,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/7tZTfgG2/VK-218-PINK-FRONT.jpg,,,,,,,,VK-218_PINK_6-7Y,,,,,,,,,,,,,,,,,,,,,PINK
Girls Printed Crop Top With Palazzo Co-Ord Set,girls-printed-crop-top-with-palazzo-co-ord-set,Girls Printed Crop Top With Palazzo Co-Ord Set,VAMAS,Apparel & Accessories > Clothing > Kids,Kids,girls,TRUE,active,VK-220_RED_1-2Y,8908641535016,COLOR,RED,,SIZE,1-2Y,,,,,2250,2250,2250,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/tpBgDLq7/VK-220-RED-FRONT.jpg,1,,https://i.ibb.co/tpBgDLq7/VK-220-RED-FRONT.jpg,FALSE,Girls Printed Crop Top With Palazzo Co-Ord Set | Vikri,Girls Printed Crop Top With Palazzo Co-Ord Set,,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult,VK-220_RED_1-2Y,,girls,,,,,,,,VK-220,ART-SILK,NA,NA,NA,NA,Soft Butter Inner Lining,NA,DRY CLEAN ONLY,Handcrafted in India,girls,RED
,girls-printed-crop-top-with-palazzo-co-ord-set,,,,,,,,VK-220_RED_2-3Y,8908641535023,,RED,,,2-3Y,,,,,2250,2250,2250,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/MxS5yrH5/VK-220-RED-BACK.jpg,2,,https://i.ibb.co/tpBgDLq7/VK-220-RED-FRONT.jpg,,,,,,,,VK-220_RED_2-3Y,,,,,,,,,,,,,,,,,,,,,RED
,girls-printed-crop-top-with-palazzo-co-ord-set,,,,,,,,VK-220_RED_3-4Y,8908641535030,,RED,,,3-4Y,,,,,2250,2250,2250,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/s9gwhfhy/VK-220-RED-SIDE.jpg,3,,https://i.ibb.co/tpBgDLq7/VK-220-RED-FRONT.jpg,,,,,,,,VK-220_RED_3-4Y,,,,,,,,,,,,,,,,,,,,,RED
,girls-printed-crop-top-with-palazzo-co-ord-set,,,,,,,,VK-220_RED_4-5Y,8908641535047,,RED,,,4-5Y,,,,,2250,2250,2250,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/spVCd3zk/VK-220-RED-ZOOM.jpg,4,,https://i.ibb.co/tpBgDLq7/VK-220-RED-FRONT.jpg,,,,,,,,VK-220_RED_4-5Y,,,,,,,,,,,,,,,,,,,,,RED
,girls-printed-crop-top-with-palazzo-co-ord-set,,,,,,,,VK-220_RED_5-6Y,8908641535054,,RED,,,5-6Y,,,,,2250,2250,2250,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/tpBgDLq7/VK-220-RED-FRONT.jpg,,,,,,,,VK-220_RED_5-6Y,,,,,,,,,,,,,,,,,,,,,RED
,girls-printed-crop-top-with-palazzo-co-ord-set,,,,,,,,VK-220_RED_6-7Y,8908641535061,,RED,,,6-7Y,,,,,2250,2250,2250,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/tpBgDLq7/VK-220-RED-FRONT.jpg,,,,,,,,VK-220_RED_6-7Y,,,,,,,,,,,,,,,,,,,,,RED
Girls Foil Polka Dot Layered Ethnic Gown Dress With Waist Belt Detail,girls-foil-polka-dot-layered-ethnic-gown-dress-with-waist-belt-detail,Girls Foil Polka Dot Layered Ethnic Gown Dress With Waist Belt Detail,VAMAS,Apparel & Accessories > Clothing > Kids,Kids,girls,TRUE,active,VK-224_ORANGE_1-2Y,8908641554604,COLOR,ORANGE,,SIZE,1-2Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/mCdxMXwn/VK-224-ORANGE-FRONT.jpg,1,,https://i.ibb.co/mCdxMXwn/VK-224-ORANGE-FRONT.jpg,FALSE,Girls Foil Polka Dot Layered Ethnic Gown Dress With Waist Belt Detail | Vikri,Girls Foil Polka Dot Layered Ethnic Gown Dress With Waist Belt Detail,,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult,VK-224_ORANGE_1-2Y,,girls,,,,,,,,VK-224,ART-SILK,NA,NA,NA,NA,Soft Butter Inner Lining,NA,DRY CLEAN ONLY,Handcrafted in India,girls,ORANGE
,girls-foil-polka-dot-layered-ethnic-gown-dress-with-waist-belt-detail,,,,,,,,VK-224_ORANGE_2-3Y,8908641554611,,ORANGE,,,2-3Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/TMm7cDXD/VK-224-ORANGE-BACK.jpg,2,,https://i.ibb.co/mCdxMXwn/VK-224-ORANGE-FRONT.jpg,,,,,,,,VK-224_ORANGE_2-3Y,,,,,,,,,,,,,,,,,,,,,ORANGE
,girls-foil-polka-dot-layered-ethnic-gown-dress-with-waist-belt-detail,,,,,,,,VK-224_ORANGE_3-4Y,8908641554628,,ORANGE,,,3-4Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/F4tT40fJ/VK-224-ORANGE-SIDE.jpg,3,,https://i.ibb.co/mCdxMXwn/VK-224-ORANGE-FRONT.jpg,,,,,,,,VK-224_ORANGE_3-4Y,,,,,,,,,,,,,,,,,,,,,ORANGE
,girls-foil-polka-dot-layered-ethnic-gown-dress-with-waist-belt-detail,,,,,,,,VK-224_ORANGE_4-5Y,8908641554635,,ORANGE,,,4-5Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/hJdcGHnT/VK-224-ORANGE-ZOOM.jpg,4,,https://i.ibb.co/mCdxMXwn/VK-224-ORANGE-FRONT.jpg,,,,,,,,VK-224_ORANGE_4-5Y,,,,,,,,,,,,,,,,,,,,,ORANGE
,girls-foil-polka-dot-layered-ethnic-gown-dress-with-waist-belt-detail,,,,,,,,VK-224_ORANGE_5-6Y,8908641554642,,ORANGE,,,5-6Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/mCdxMXwn/VK-224-ORANGE-FRONT.jpg,,,,,,,,VK-224_ORANGE_5-6Y,,,,,,,,,,,,,,,,,,,,,ORANGE
,girls-foil-polka-dot-layered-ethnic-gown-dress-with-waist-belt-detail,,,,,,,,VK-224_ORANGE_6-7Y,8908641554659,,ORANGE,,,6-7Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/mCdxMXwn/VK-224-ORANGE-FRONT.jpg,,,,,,,,VK-224_ORANGE_6-7Y,,,,,,,,,,,,,,,,,,,,,ORANGE
Girls Embroidered Crop Top With Layered Flared Skirt & Net Cape Set,girls-embroidered-crop-top-with-layered-flared-skirt-&-net-cape-set,Girls Embroidered Crop Top With Layered Flared Skirt & Net Cape Set,VAMAS,Apparel & Accessories > Clothing > Kids,Kids,girls,TRUE,active,VK-225_SKY-BLUE_1-2Y,8908641535139,COLOR,SKY-BLUE,,SIZE,1-2Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/Q3Q0NJX7/VK-225-SKY-BLUE-FRONT.jpg,1,,https://i.ibb.co/Q3Q0NJX7/VK-225-SKY-BLUE-FRONT.jpg,FALSE,Girls Embroidered Crop Top With Layered Flared Skirt & Net Cape Set | Vikri,Girls Embroidered Crop Top With Layered Flared Skirt & Net Cape Set,,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult,VK-225_SKY-BLUE_1-2Y,,girls,,,,,,,,VK-225,ART-SILK,NA,NA,NA,NA,Soft Butter Inner Lining,NA,DRY CLEAN ONLY,Handcrafted in India,girls,BLUE
,girls-embroidered-crop-top-with-layered-flared-skirt-&-net-cape-set,,,,,,,,VK-225_SKY-BLUE_2-3Y,8908641535146,,SKY-BLUE,,,2-3Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/r24FrhCp/VK-225-SKY-BLUE-BACK.jpg,2,,https://i.ibb.co/Q3Q0NJX7/VK-225-SKY-BLUE-FRONT.jpg,,,,,,,,VK-225_SKY-BLUE_2-3Y,,,,,,,,,,,,,,,,,,,,,BLUE
,girls-embroidered-crop-top-with-layered-flared-skirt-&-net-cape-set,,,,,,,,VK-225_SKY-BLUE_3-4Y,8908641535153,,SKY-BLUE,,,3-4Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/tTvrMpCd/VK-225-SKY-BLUE-SIDE.jpg,3,,https://i.ibb.co/Q3Q0NJX7/VK-225-SKY-BLUE-FRONT.jpg,,,,,,,,VK-225_SKY-BLUE_3-4Y,,,,,,,,,,,,,,,,,,,,,BLUE
,girls-embroidered-crop-top-with-layered-flared-skirt-&-net-cape-set,,,,,,,,VK-225_SKY-BLUE_4-5Y,8908641535160,,SKY-BLUE,,,4-5Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/PZkyK9bX/VK-225-SKY-BLUE-ZOOM.jpg,4,,https://i.ibb.co/Q3Q0NJX7/VK-225-SKY-BLUE-FRONT.jpg,,,,,,,,VK-225_SKY-BLUE_4-5Y,,,,,,,,,,,,,,,,,,,,,BLUE
,girls-embroidered-crop-top-with-layered-flared-skirt-&-net-cape-set,,,,,,,,VK-225_SKY-BLUE_5-6Y,8908641535177,,SKY-BLUE,,,5-6Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/Q3Q0NJX7/VK-225-SKY-BLUE-FRONT.jpg,,,,,,,,VK-225_SKY-BLUE_5-6Y,,,,,,,,,,,,,,,,,,,,,BLUE
,girls-embroidered-crop-top-with-layered-flared-skirt-&-net-cape-set,,,,,,,,VK-225_SKY-BLUE_6-7Y,8908641535184,,SKY-BLUE,,,6-7Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/Q3Q0NJX7/VK-225-SKY-BLUE-FRONT.jpg,,,,,,,,VK-225_SKY-BLUE_6-7Y,,,,,,,,,,,,,,,,,,,,,BLUE
"Girls Ethnic Co-Ord Set With Crop Top, Flared Palazzo & Dupatta","girls-ethnic-co-ord-set-with-crop-top,-flared-palazzo-&-dupatta","Girls Ethnic Co-Ord Set With Crop Top, Flared Palazzo & Dupatta",VAMAS,Apparel & Accessories > Clothing > Kids,Kids,girls,TRUE,active,VK-226_SKY-BLUE_1-2Y,8908641561107,COLOR,SKY-BLUE,,SIZE,1-2Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/TNkrX34/VK-226-SKY-BLUE-FRONT.jpg,1,,https://i.ibb.co/TNkrX34/VK-226-SKY-BLUE-FRONT.jpg,FALSE,"Girls Ethnic Co-Ord Set With Crop Top, Flared Palazzo & Dupatta | Vikri","Girls Ethnic Co-Ord Set With Crop Top, Flared Palazzo & Dupatta",,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult,VK-226_SKY-BLUE_1-2Y,,girls,,,,,,,,VK-226,ART-SILK,NA,NA,NA,NA,Soft Butter Inner Lining,NA,DRY CLEAN ONLY,Handcrafted in India,girls,BLUE
,"girls-ethnic-co-ord-set-with-crop-top,-flared-palazzo-&-dupatta",,,,,,,,VK-226_SKY-BLUE_2-3Y,8908641561114,,SKY-BLUE,,,2-3Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/9HvNZrxP/VK-226-SKY-BLUE-BACK.jpg,2,,https://i.ibb.co/TNkrX34/VK-226-SKY-BLUE-FRONT.jpg,,,,,,,,VK-226_SKY-BLUE_2-3Y,,,,,,,,,,,,,,,,,,,,,BLUE
,"girls-ethnic-co-ord-set-with-crop-top,-flared-palazzo-&-dupatta",,,,,,,,VK-226_SKY-BLUE_3-4Y,8908641561121,,SKY-BLUE,,,3-4Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/VcfCL2rp/VK-226-SKY-BLUE-SIDE.jpg,3,,https://i.ibb.co/TNkrX34/VK-226-SKY-BLUE-FRONT.jpg,,,,,,,,VK-226_SKY-BLUE_3-4Y,,,,,,,,,,,,,,,,,,,,,BLUE
,"girls-ethnic-co-ord-set-with-crop-top,-flared-palazzo-&-dupatta",,,,,,,,VK-226_SKY-BLUE_4-5Y,8908641561138,,SKY-BLUE,,,4-5Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/ccHfs5XK/VK-226-SKY-BLUE-ZOOM.jpg,4,,https://i.ibb.co/TNkrX34/VK-226-SKY-BLUE-FRONT.jpg,,,,,,,,VK-226_SKY-BLUE_4-5Y,,,,,,,,,,,,,,,,,,,,,BLUE
,"girls-ethnic-co-ord-set-with-crop-top,-flared-palazzo-&-dupatta",,,,,,,,VK-226_SKY-BLUE_5-6Y,8908641561145,,SKY-BLUE,,,5-6Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/TNkrX34/VK-226-SKY-BLUE-FRONT.jpg,,,,,,,,VK-226_SKY-BLUE_5-6Y,,,,,,,,,,,,,,,,,,,,,BLUE
,"girls-ethnic-co-ord-set-with-crop-top,-flared-palazzo-&-dupatta",,,,,,,,VK-226_SKY-BLUE_6-7Y,8908641561152,,SKY-BLUE,,,6-7Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/TNkrX34/VK-226-SKY-BLUE-FRONT.jpg,,,,,,,,VK-226_SKY-BLUE_6-7Y,,,,,,,,,,,,,,,,,,,,,BLUE
,"girls-ethnic-co-ord-set-with-crop-top,-flared-palazzo-&-dupatta",,,,,,,,VK-226_ONION-PINK_1-2Y,8908641535191,,ONION-PINK,,,1-2Y,,,,,2624,2624,2624,TRUE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/sp0yhxqc/VK-226-ONION-PINK-FRONT.jpg,5,,https://i.ibb.co/sp0yhxqc/VK-226-ONION-PINK-FRONT.jpg,FALSE,,,,,,,VK-226_ONION-PINK_1-2Y,,,,,,,,,,,,,,,,,,,,,PINK
