Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4,Style Name (product.metafields.custom.style_name),Fabric (product.metafields.custom.fabric),Work (product.metafields.custom.work),Blouse Type (product.metafields.custom.blouse_type),Neck Style (product.metafields.custom.neck_style),Sleeve Length (product.metafields.custom.sleeve_length),Lining (product.metafields.custom.lining),Closure (product.metafields.custom.closure),Care Instructions (product.metafields.custom.care_instructions),Origin (product.metafields.custom.origin),Size Chart Type (product.metafields.custom.size_chart_type),Color Group (product.metafields.custom.color_group)
Velvet Sequence Dual Neck Partywear Blouse,velvet-sequence-dual-neck-partywear-blouse,Velvet Sequence Dual Neck Partywear Blouse,VAMAS,Apparel & Accessories > Clothing > Blouses,Blouse,"back-open,velvet,padded-blouse,party-wear,dual-neck-blouses,new_blouses,sleeveless,sweetheart-neck",TRUE,active,X-1350.NS_BLACK-SILVER_32,8.91E+12,COLOR,BLACK-SILVER,,SIZE,32,,,,,2624,2624,2624,FALSE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/wFZzPs15/X-1350-NS-BLACK-FRONT.jpg,1,,https://i.ibb.co/wFZzPs15/X-1350-NS-BLACK-FRONT.jpg,FALSE,Velvet Sequence Dual Neck Partywear Blouse | Vamas,Velvet Sequence Dual Neck Partywear Blouse,,Apparel & Accessories > Clothing > Shirts & Tops,Female,Adult,X-1350.NS_BLACK-SILVER_32,,"back-open,sweetheart-neck,velvet,padded-blouse,sleeveless,party-wear,dual-neck-blouses,new_blouses",,,,,,,,X-1350.NS,VELVET,SEQUENCE,Readymade Padded Blouse,SWEETHEART NECK,SLEEVELESS,Soft Butter Inner Lining,Back Open,Soft Butter Inner Lining,Handcrafted in India,padded_blouse,BLACK
,velvet-sequence-dual-neck-partywear-blouse,,,,,,,,X-1350.NS_BLACK-SILVER_34,8.91E+12,,BLACK-SILVER,,,34,,,,,2624,2624,2624,FALSE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/LXryrfGP/X-1350-NS-BLACK-BACK.jpg,2,,https://i.ibb.co/wFZzPs15/X-1350-NS-BLACK-FRONT.jpg,,,,,,,,X-1350.NS_BLACK-SILVER_34,,,,,,,,,,,,,,,,,,,,,BLACK
,velvet-sequence-dual-neck-partywear-blouse,,,,,,,,X-1350.NS_BLACK-SILVER_36,8.91E+12,,BLACK-SILVER,,,36,,,,,2624,2624,2624,FALSE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/LdLwMyVz/X-1350-NS-BLACK-SIDE1.jpg,3,,https://i.ibb.co/wFZzPs15/X-1350-NS-BLACK-FRONT.jpg,,,,,,,,X-1350.NS_BLACK-SILVER_36,,,,,,,,,,,,,,,,,,,,,BLACK
,velvet-sequence-dual-neck-partywear-blouse,,,,,,,,X-1350.NS_BLACK-SILVER_38,8.91E+12,,BLACK-SILVER,,,38,,,,,2624,2624,2624,FALSE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/HLPCgMKK/X-1350-NS-BLACK-FULL.jpg,4,,https://i.ibb.co/wFZzPs15/X-1350-NS-BLACK-FRONT.jpg,,,,,,,,X-1350.NS_BLACK-SILVER_38,,,,,,,,,,,,,,,,,,,,,BLACK
,velvet-sequence-dual-neck-partywear-blouse,,,,,,,,X-1350.NS_BLACK-SILVER_40,8.91E+12,,BLACK-SILVER,,,40,,,,,2624,2624,2624,FALSE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/C56SDZzz/X-1350-NS-BLACK-ZOOM.jpg,5,,https://i.ibb.co/wFZzPs15/X-1350-NS-BLACK-FRONT.jpg,,,,,,,,X-1350.NS_BLACK-SILVER_40,,,,,,,,,,,,,,,,,,,,,BLACK
,velvet-sequence-dual-neck-partywear-blouse,,,,,,,,X-1350.NS_BLACK-SILVER_42,8.91E+12,,BLACK-SILVER,,,42,,,,,2624,2624,2624,FALSE,,,,,,Shopify,10,deny,150,g,TRUE,manual,,,,https://i.ibb.co/wFZzPs15/X-1350-NS-BLACK-FRONT.jpg,,,,,,,,X-1350.NS_BLACK-SILVER_42,,,,,,,,,,,,,,,,,,,,,BLACK
,velvet-sequence-dual-neck-partywear-blouse,,,,,,,,X-1350.NS_BLACK-WINE_32,8.91E+12,,BLACK-WINE,,,32,,,,,2624,2624,2624,FALSE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/Q71rt4jX/X-1350-NS-BLACK-WINE-FRONT.jpg,6,,https://i.ibb.co/Q71rt4jX/X-1350-NS-BLACK-WINE-FRONT.jpg,FALSE,,,,,,,X-1350.NS_BLACK-WINE_32,,,,,,,,,,,,,,,,,,,,,BLACK
,velvet-sequence-dual-neck-partywear-blouse,,,,,,,,X-1350.NS_BLACK-WINE_34,8.91E+12,,BLACK-WINE,,,34,,,,,2624,2624,2624,FALSE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/VRtbnHk/X-1350-NS-BLACK-WINE-BACK.jpg,7,,https://i.ibb.co/Q71rt4jX/X-1350-NS-BLACK-WINE-FRONT.jpg,,,,,,,,X-1350.NS_BLACK-WINE_34,,,,,,,,,,,,,,,,,,,,,BLACK
,velvet-sequence-dual-neck-partywear-blouse,,,,,,,,X-1350.NS_BLACK-WINE_36,8.91E+12,,BLACK-WINE,,,36,,,,,2624,2624,2624,FALSE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/fY2cpWVZ/X-1350-NS-BLACK-WINE-SIDE1.jpg,8,,https://i.ibb.co/Q71rt4jX/X-1350-NS-BLACK-WINE-FRONT.jpg,,,,,,,,X-1350.NS_BLACK-WINE_36,,,,,,,,,,,,,,,,,,,,,BLACK
,velvet-sequence-dual-neck-partywear-blouse,,,,,,,,X-1350.NS_BLACK-WINE_38,8.91E+12,,BLACK-WINE,,,38,,,,,2624,2624,2624,FALSE,,,,,,Shopify,10,deny,150,g,TRUE,manual,https://i.ibb.co/1GPWxJhN/X-1350-NS-BLACK-WINE-FULL.jpg,9,,https://i.ibb.co/Q71rt4jX/X-1350-NS-BLACK-WINE-FRONT.jpg,,,,,,,,X-1350.NS_BLACK-WINE_38,,,,,,,,,,,,,,,,,,,,,BLACK
