Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,32,,,X-1293.ELB_DARK-GOLD_32,,,Warehouse Location,,0,0,0,0,0,10
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,32,,,X-1293.ELB_DARK-GOLD_32,,,Shop Location - Gokhale Road Thane,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,32,,,X-1293.ELB_DARK-GOLD_32,,,Shop Location - Korum Mall Thane,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,32,,,X-1293.ELB_DARK-GOLD_32,,,Shop Location - Real Tech Park Vashi,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,32,,,X-1293.ELB_DARK-GOLD_32,,,Shop Location - Karishma Center Chembur,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,32,,,X-1293.ELB_DARK-GOLD_32,,,Shop Location - Dombivli,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,34,,,X-1293.ELB_DARK-GOLD_34,,,Warehouse Location,,0,0,0,0,0,10
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,34,,,X-1293.ELB_DARK-GOLD_34,,,Shop Location - Gokhale Road Thane,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,34,,,X-1293.ELB_DARK-GOLD_34,,,Shop Location - Korum Mall Thane,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,34,,,X-1293.ELB_DARK-GOLD_34,,,Shop Location - Real Tech Park Vashi,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,34,,,X-1293.ELB_DARK-GOLD_34,,,Shop Location - Karishma Center Chembur,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,34,,,X-1293.ELB_DARK-GOLD_34,,,Shop Location - Dombivli,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,36,,,X-1293.ELB_DARK-GOLD_36,,,Warehouse Location,,0,0,0,0,0,10
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,36,,,X-1293.ELB_DARK-GOLD_36,,,Shop Location - Gokhale Road Thane,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,36,,,X-1293.ELB_DARK-GOLD_36,,,Shop Location - Korum Mall Thane,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,36,,,X-1293.ELB_DARK-GOLD_36,,,Shop Location - Real Tech Park Vashi,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,36,,,X-1293.ELB_DARK-GOLD_36,,,Shop Location - Karishma Center Chembur,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,36,,,X-1293.ELB_DARK-GOLD_36,,,Shop Location - Dombivli,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,38,,,X-1293.ELB_DARK-GOLD_38,,,Warehouse Location,,0,0,0,0,0,10
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,38,,,X-1293.ELB_DARK-GOLD_38,,,Shop Location - Gokhale Road Thane,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,38,,,X-1293.ELB_DARK-GOLD_38,,,Shop Location - Korum Mall Thane,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,38,,,X-1293.ELB_DARK-GOLD_38,,,Shop Location - Real Tech Park Vashi,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,38,,,X-1293.ELB_DARK-GOLD_38,,,Shop Location - Karishma Center Chembur,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,38,,,X-1293.ELB_DARK-GOLD_38,,,Shop Location - Dombivli,,not stocked,not stocked,not stocked,not stocked,not stocked,
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,40,,,X-1293.ELB_DARK-GOLD_40,,,Warehouse Location,,0,0,0,0,0,10
stripe-brocade-v-neck-blouse,Stripe Brocade V Neck Blouse,COLOR,DARK-GOLD,SIZE,40,,,X-1293.ELB_DARK-GOLD_40,,,Shop Location - Gokhale Road Thane,,not stocked,not stocked,not stocked,not stocked,not stocked,
